,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
39,10.0,9.0,10.0,10.0,9.0,8.5,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,8.5,9.5,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
40,8.0,9.0,8.5,9.5,9.5,8.5,9.0,0.0,0.0,9.0,9.0,8.0,9.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.5,7.5,6.5,7.5,7.5,7.0,8.0,7.0,8.0,8.5,8.0,5.0,6.0,5.0,6.0,6.0,5.0,8.5,8.5,8.5,7.5,9.5,8.5
41,9.0,9.0,10.0,9.5,10.0,8.0,9.0,9.5,9.5,8.0,9.0,9.0,8.0,8.5,9.5,8.5,8.5,9.5,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.5,9.5,9.5,8.5,8.5,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
42,9.5,8.5,10.0,9.0,9.5,9.5,8.5,10.0,10.0,9.5,9.5,9.5,8.5,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,7.0,7.0,7.0,7.0,7.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,-1.0,0.0,-1.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,8.5,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.5,10.0
43,9.0,10.0,8.5,9.0,7.5,8.5,10.0,8.5,9.5,10.0,9.0,10.0,9.0,8.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,6.0,8.0,9.0,9.0,9.0,6.0,9.5,9.5,8.5,9.5,8.5,5.0,6.0,6.0,6.0,8.5,6.0,10.0,8.5,9.5,9.5,8.5,9.5,7.5,8.5,8.5,7.5,7.5,8.5
44,10.0,9.5,10.0,9.0,9.0,10.0,9.5,8.5,8.5,9.5,9.5,9.5,8.5,8.5,8.5,7.5,7.5,7.5,10.0,10.0,9.0,10.0,10.0,6.0,6.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.5,9.5,9.5,9.5,9.5,9.0,10.0,10.0,10.0,9.0,9.0
45,9.5,9.5,9.5,9.5,10.0,8.5,9.5,9.5,8.5,8.5,8.5,9.5,9.5,8.5,8.5,9.5,9.5,8.5,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.5,10.0,9.5,8.5,8.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.5,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.5,9.5,9.5,8.5,10.0,9.5
46,9.5,9.0,10.0,8.5,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,9.0,10.0,9.0,10.0,10.0
47,10.0,10.0,8.5,8.5,9.0,9.0,10.0,9.5,9.5,10.0,10.0,9.0,10.0,9.5,9.5,8.5,9.5,9.5,10.0,10.0,10.0,9.0,10.0,6.0,6.0,5.0,6.0,6.0,9.5,10.0,9.5,8.5,9.5,9.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.5,10.0,10.0,8.0,9.0,8.0,8.0,9.0,9.5,9.5,9.5,8.5,10.0,9.5
48,9.5,8.0,6.0,8.5,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,8.5,8.0,9.5,9.5,9.5,9.5,8.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,6.0,0.0,0.0,0.0,-1.0,0.0,7.0,7.0,6.0,7.0,9.0,7.0
49,8.5,10.0,9.5,9.5,10.0,10.0,10.0,9.5,8.5,10.0,10.0,10.0,10.0,8.5,9.5,8.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,9.5,9.5,8.5,9.5,9.5,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,8.5,10.0,9.5,10.0,10.0,10.0,10.0,9.0,9.5,8.5,9.5,8.5,9.0,9.5
50,9.5,5.0,9.0,7.0,10.0,9.0,6.0,9.0,9.0,6.0,6.0,6.0,5.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.5,8.5,8.5,9.5,9.5,8.0,10.0,7.0,7.0,7.0,8.0,10.0,6.0,7.0,7.0,6.0,6.0,9.0,10.0,10.0,10.0,9.0,10.0,8.5,10.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
51,10.0,10.0,10.0,8.5,10.0,8.5,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,8.5,10.0,9.5,9.5,9.5,9.5,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
52,8.5,10.0,8.5,9.0,10.0,5.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.5,10.0,8.5,9.5,8.5,8.5,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.5,10.0,8.0,10.0,10.0,9.0,10.0,10.0,9.5,9.5,8.5,9.5,9.0,9.5
53,9.0,7.0,9.0,9.0,9.5,10.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.5,8.5,8.5,8.5,8.5,9.5,10.0,9.5,8.5,9.5,9.5,10.0,7.0,6.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,9.5,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.5,9.0
54,7.0,9.0,8.5,0.0,-1.0,6.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,5.0,6.0,6.0,6.0,5.0,9.0,6.0,9.0,9.0,8.0,9.0,5.0,8.5,7.5,7.5,8.5,8.5,6.0,6.0,6.0,5.0,8.5,5.0,6.0,7.5,7.5,8.5,8.5,7.5,8.5,8.5,8.5,8.5,-1.0,7.5
55,10.0,0.0,9.0,9.0,10.0,-1.0,-1.0,8.0,8.0,0.0,-1.0,-1.0,0.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,6.0,5.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,9.0,9.0,9.5,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0
56,8.5,9.0,9.5,10.0,9.0,8.0,9.0,8.5,7.5,10.0,10.0,9.0,10.0,7.5,8.5,8.5,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.5,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,10.0,8.5
